timeData,tof1Data
0.00200000,4.02300000
0.01000000,4.02300000
0.01800000,4.07300000
0.02400000,4.07300000
0.03200000,4.07300000
0.03800000,4.07300000
0.04200000,4.07300000
0.04900000,4.07300000
0.05700000,4.07300000
0.06000000,4.07300000
0.06300000,4.07300000
0.07100000,4.07300000
0.07900000,4.07300000
0.08600000,4.07300000
0.09400000,4.07300000
0.10100000,4.07300000
0.10900000,4.07300000
0.11300000,4.07300000
0.12100000,4.06000000
0.12900000,4.06000000
0.13700000,4.06000000
0.14500000,4.06000000
0.15100000,4.06000000
0.15900000,4.06000000
0.16500000,4.06000000
0.17300000,4.06000000
0.18100000,3.97300000
0.18900000,3.97300000
0.19700000,3.97300000
0.20100000,3.97300000
0.20400000,3.97300000
0.21200000,3.97300000
0.22000000,3.97300000
0.22500000,3.97300000
0.23300000,3.97300000
0.23900000,3.97300000
0.24700000,3.97300000
0.25500000,3.97300000
0.26200000,3.97300000
0.27000000,3.97300000
0.27700000,3.97300000
0.28500000,3.97300000
0.29200000,3.97300000
0.30000000,3.97300000
0.30400000,3.97300000
0.30700000,3.97300000
0.31500000,3.97300000
0.32300000,4.05500000
0.33100000,4.05500000
0.33700000,4.05500000
0.34100000,4.05500000
0.34800000,4.05500000
0.35500000,4.05500000
0.35900000,4.05500000
0.36600000,4.05500000
0.37400000,4.05500000
0.38200000,4.05500000
0.38900000,4.05500000
0.39700000,4.05500000
0.40400000,4.05500000
0.41200000,4.05500000
0.42000000,4.04800000
0.42800000,4.04800000
0.43600000,4.04800000
0.44400000,4.04800000
0.45200000,4.04800000
0.46000000,4.04800000
0.46800000,4.04800000
0.47400000,4.04800000
0.48200000,4.04800000
0.49000000,4.04800000
0.49800000,4.04800000
0.50600000,4.04800000
0.51400000,4.04800000
0.52200000,4.00500000
0.52800000,4.00500000
0.53600000,4.00500000
0.54400000,4.00500000
0.55100000,4.00500000
0.55900000,4.00500000
0.56700000,4.00500000
0.57200000,4.00500000
0.57500000,4.02600000
0.58300000,4.02600000
0.59000000,4.02600000
0.59400000,4.02600000
0.59800000,4.02600000
0.60600000,4.02600000
0.61400000,4.02600000
0.62200000,4.02600000
0.62900000,4.02600000
0.63700000,4.02600000
0.64400000,4.02600000
0.64800000,4.02600000
0.65500000,4.02600000
0.66300000,4.02600000
0.67100000,4.02600000
0.67900000,4.02600000
0.68700000,4.02600000
0.69500000,4.02600000
0.70300000,4.02600000
0.71100000,4.02600000
0.71900000,4.05800000
0.72700000,4.05800000
0.73500000,4.05800000
0.73900000,4.05800000
0.74200000,4.05800000
0.75000000,4.05800000
0.75800000,4.05800000
0.76600000,4.05800000
0.77200000,4.05800000
0.78000000,3.96500000
0.78800000,3.96500000
0.79600000,3.96500000
0.79900000,3.96500000
0.80700000,3.96500000
0.81200000,3.96500000
0.82000000,3.96500000
0.82800000,3.96500000
0.83500000,3.96500000
0.83900000,3.96500000
0.84600000,3.96500000
0.85400000,3.96500000
0.86000000,3.96500000
0.86800000,3.96500000
0.87600000,3.96500000
0.88400000,3.96500000
0.89200000,3.96500000
0.89600000,3.96500000
0.90300000,3.96500000
0.90600000,3.96500000
0.91400000,3.96500000
0.92200000,4.03400000
0.93000000,4.03400000
0.93800000,4.03400000
0.94600000,4.03400000
0.95400000,4.03400000
0.96200000,4.03400000
0.97000000,4.03400000
0.97700000,4.03400000
0.98500000,4.03400000
0.99200000,4.03400000
1.00000000,4.03400000
1.00700000,4.03400000
1.01500000,4.03400000
1.02300000,4.01200000
1.02800000,4.01200000
1.03600000,4.01200000
1.03900000,4.01200000
1.04700000,4.01200000
1.05500000,4.01200000
1.06100000,4.01200000
1.06500000,4.01200000
1.07200000,4.01200000
1.07500000,4.01200000
1.08500000,4.01200000
1.09300000,4.01200000
1.10100000,4.01200000
1.10600000,4.01200000
1.10900000,4.01200000
1.11700000,4.01200000
1.12500000,4.03300000
1.13300000,4.03300000
1.14100000,4.03300000
1.14800000,4.03300000
1.15600000,4.03300000
1.16400000,4.03300000
1.17200000,4.03300000
1.18000000,4.03300000
1.18800000,4.03300000
1.19400000,4.03300000
1.20200000,4.03300000
1.21000000,4.03300000
1.21700000,4.03300000
1.22500000,4.01400000
1.23300000,4.01400000
1.24100000,4.01400000
1.24900000,4.01400000
1.25600000,4.01400000
1.26400000,4.01400000
1.26800000,4.01400000
1.27600000,4.01400000
1.28200000,4.01400000
1.29000000,4.01400000
1.29800000,4.01400000
1.30600000,4.01400000
1.31400000,4.01400000
1.32200000,4.03500000
1.33000000,4.03500000
1.33300000,4.03500000
1.34100000,4.03500000
1.34600000,4.03500000
1.35400000,4.03500000
1.36000000,4.03500000
1.36800000,4.03500000
1.37600000,4.03500000
1.38400000,4.03500000
1.39200000,4.03500000
1.40000000,4.03500000
1.40500000,4.03500000
1.41300000,4.03500000
1.41900000,4.01900000
1.42700000,4.01900000
1.43500000,4.01900000
1.44200000,4.01900000
1.45000000,4.01900000
1.45800000,4.01900000
1.46600000,4.01900000
1.47400000,4.01900000
1.48200000,4.01900000
1.49000000,4.01900000
1.49800000,4.01900000
1.50600000,4.01900000
1.51400000,4.01900000
1.51800000,4.04700000
1.52600000,4.04700000
1.53400000,4.04700000
1.54200000,4.04700000
1.55000000,4.04700000
1.55300000,4.04700000
1.56100000,4.04700000
1.56900000,4.04700000
1.57700000,4.02600000
1.58400000,4.02600000
1.58800000,4.02600000
1.59500000,4.02600000
1.60300000,4.02600000
1.61100000,4.02600000
1.61900000,4.02600000
1.62700000,4.02600000
1.63100000,4.02600000
1.63900000,4.02600000
1.64700000,4.02600000
1.65500000,4.02600000
1.66300000,4.02600000
1.66900000,4.02600000
1.67700000,4.02600000
1.68500000,4.02600000
1.69200000,4.02600000
1.69900000,4.02600000
1.70500000,4.02600000
1.70800000,4.02600000
1.71600000,4.02600000
1.72400000,4.03100000
1.73200000,4.03100000
1.73500000,4.03100000
1.74300000,4.03100000
1.74800000,4.03100000
1.75600000,4.03100000
1.76200000,4.03100000
1.77000000,4.03100000
1.77800000,3.99600000
1.78600000,3.99600000
1.78900000,3.99600000
1.79700000,3.99600000
1.80200000,3.99600000
1.81000000,3.99600000
1.81600000,3.99600000
1.82400000,3.99600000
1.83200000,3.99600000
1.84000000,3.99600000
1.84300000,3.99600000
1.85100000,3.99600000
1.85900000,3.99600000
1.86500000,3.99600000
1.86900000,3.99600000
1.87600000,3.93300000
1.88100000,3.93300000
1.88900000,3.93300000
1.89700000,3.93300000
1.90100000,3.93300000
1.90900000,3.93300000
1.91200000,3.93300000
1.92000000,3.93300000
1.92800000,3.93300000
1.93400000,3.93300000
1.94200000,3.93300000
1.95000000,3.93300000
1.95700000,3.93300000
1.96500000,3.93300000
1.97200000,3.93300000
1.97600000,4.03400000
1.98300000,4.03400000
1.99100000,4.03400000
1.99900000,4.03400000
2.13400000,4.05100000
2.18600000,4.06600000
2.29100000,3.97900000
2.41900000,4.01700000
2.52500000,4.01300000
2.62300000,4.01600000
2.72200000,3.91400000
2.82300000,3.86800000
2.92000000,3.79400000
3.02600000,3.75400000
3.12400000,3.70800000
3.22400000,3.69400000
3.32400000,3.61500000
3.42300000,3.48500000
3.52900000,3.47800000
3.63000000,3.41200000
3.72500000,3.32900000
3.82400000,3.25000000
3.92400000,3.19700000
4.02900000,3.11900000
4.12800000,3.03700000
4.22900000,2.96100000
4.32600000,2.87700000
4.43000000,2.79600000
4.52100000,2.70500000
4.62100000,2.59500000
4.72700000,2.49500000
4.82500000,2.40500000
