timeData,tof1Data
0.00200000,3.52800000
0.01000000,3.52800000
0.01800000,3.52800000
0.02600000,3.52800000
0.03400000,3.52800000
0.04100000,3.52800000
0.04500000,3.52800000
0.05200000,3.52800000
0.05800000,3.52800000
0.06200000,3.52800000
0.06500000,3.41800000
0.06800000,3.41800000
0.07400000,3.41800000
0.07800000,3.41800000
0.08100000,3.41800000
0.08400000,3.41800000
0.09100000,3.41800000
0.09900000,3.41800000
0.10700000,3.41800000
0.11500000,3.41800000
0.12300000,3.41800000
0.13100000,3.41800000
0.13900000,3.41800000
0.14700000,3.41800000
0.15500000,3.41800000
0.16300000,3.41400000
0.17100000,3.41400000
0.17900000,3.41400000
0.18700000,3.41400000
0.19500000,3.41400000
0.20300000,3.41400000
0.21100000,3.41400000
0.21900000,3.41400000
0.22700000,3.41400000
0.23500000,3.41400000
0.24300000,3.41400000
0.25100000,3.41400000
0.25900000,3.41400000
0.26700000,3.07500000
0.27500000,3.07500000
0.28300000,3.07500000
0.29100000,3.07500000
0.29900000,3.07500000
0.30700000,3.07500000
0.31500000,3.07500000
0.32300000,3.07500000
0.33100000,3.07500000
0.33900000,3.07500000
0.34700000,3.07500000
0.35500000,3.07500000
0.35900000,3.07500000
0.36200000,2.41200000
0.37000000,2.41200000
0.37500000,2.41200000
0.37800000,2.41200000
0.38600000,2.41200000
0.39000000,2.41200000
0.39300000,2.41200000
0.40100000,2.41200000
0.40900000,2.41200000
0.41500000,2.41200000
0.41900000,2.41200000
0.42600000,2.41200000
0.43100000,2.41200000
0.43800000,2.41200000
0.44500000,2.41200000
0.45100000,2.41200000
0.45800000,2.41200000
0.46500000,3.02500000
0.47100000,3.02500000
0.47900000,3.02500000
0.48600000,3.02500000
0.49000000,3.02500000
0.49700000,3.02500000
0.50000000,3.02500000
0.50300000,3.02500000
0.51100000,3.02500000
0.51900000,3.02500000
0.52400000,3.02500000
0.53200000,3.02500000
0.54000000,3.02500000
0.54800000,3.02500000
0.55600000,3.02500000
0.56300000,3.59000000
0.57100000,3.59000000
0.57900000,3.59000000
0.58500000,3.59000000
0.59300000,3.59000000
0.60100000,3.59000000
0.60900000,3.59000000
0.61700000,3.59000000
0.62500000,3.59000000
0.63300000,3.59000000
0.64100000,3.59000000
0.64400000,3.59000000
0.65100000,3.59000000
0.65800000,3.59000000
0.66100000,3.59000000
0.67100000,3.71300000
0.67900000,3.71300000
0.68700000,3.71300000
0.69500000,3.71300000
0.70300000,3.71300000
0.70600000,3.71300000
0.71400000,3.71300000
0.72200000,3.71300000
0.73000000,3.71300000
0.73800000,3.71300000
0.74600000,3.71300000
0.75400000,3.71300000
0.76000000,3.71300000
0.76400000,3.74300000
0.77100000,3.74300000
0.77600000,3.74300000
0.78400000,3.74300000
0.79200000,3.74300000
0.80000000,3.74300000
0.80800000,3.74300000
0.81600000,3.74300000
0.81900000,3.74300000
0.82700000,3.74300000
0.83500000,3.74300000
0.84300000,3.74300000
0.85100000,3.74300000
0.85900000,3.74300000
0.86700000,3.71400000
0.87500000,3.71400000
0.88300000,3.71400000
0.88600000,3.71400000
0.88900000,3.71400000
0.89300000,3.71400000
0.89600000,3.71400000
0.90400000,3.71400000
0.91200000,3.71400000
0.91600000,3.71400000
0.91900000,3.71400000
0.92300000,3.71400000
0.92900000,3.71400000
0.93700000,3.71400000
0.94500000,3.71400000
