timeData,tof1Data
0.00200000,3740.00000000
0.01000000,3740.00000000
0.01800000,3740.00000000
0.02300000,3740.00000000
0.03100000,3740.00000000
0.03500000,3740.00000000
0.04300000,3740.00000000
0.04900000,3740.00000000
0.05700000,3740.00000000
0.06500000,3740.00000000
0.07300000,3740.00000000
0.08100000,3740.00000000
0.08900000,3736.00000000
0.09600000,3736.00000000
0.10000000,3736.00000000
0.10700000,3736.00000000
0.11500000,3736.00000000
0.12300000,3736.00000000
0.13100000,3736.00000000
0.13800000,3736.00000000
0.14600000,3736.00000000
0.15400000,3736.00000000
0.16200000,3736.00000000
0.17000000,3736.00000000
0.17800000,3736.00000000
0.18600000,3736.00000000
0.19400000,3718.00000000
0.20200000,3718.00000000
0.20500000,3718.00000000
0.21300000,3718.00000000
0.22100000,3718.00000000
0.22900000,3718.00000000
0.23700000,3718.00000000
0.24400000,3718.00000000
0.25200000,3718.00000000
0.26000000,3718.00000000
0.26800000,3718.00000000
0.27600000,3718.00000000
0.28400000,3718.00000000
0.29200000,3752.00000000
0.30000000,3752.00000000
0.30700000,3752.00000000
0.31400000,3752.00000000
0.32100000,3752.00000000
0.32900000,3752.00000000
0.33700000,3752.00000000
0.34400000,3752.00000000
0.35200000,3752.00000000
0.35700000,3752.00000000
0.36500000,3752.00000000
0.37300000,3752.00000000
0.38100000,3752.00000000
0.38900000,3752.00000000
0.39700000,3730.00000000
0.40500000,3730.00000000
0.41300000,3730.00000000
0.42100000,3730.00000000
0.42400000,3730.00000000
0.43700000,3730.00000000
0.44500000,3730.00000000
0.45300000,3730.00000000
0.46100000,3730.00000000
0.46900000,3730.00000000
0.47700000,3730.00000000
0.48500000,3730.00000000
0.49300000,3711.00000000
0.50100000,3711.00000000
0.50900000,3711.00000000
0.51200000,3711.00000000
0.52000000,3711.00000000
0.52800000,3711.00000000
0.53200000,3711.00000000
0.54000000,3711.00000000
0.54800000,3711.00000000
0.55600000,3711.00000000
0.56400000,3711.00000000
0.57200000,3711.00000000
0.57800000,3711.00000000
0.58200000,3711.00000000
0.58900000,3711.00000000
0.59700000,3760.00000000
0.60400000,3760.00000000
0.61100000,3760.00000000
0.61800000,3760.00000000
0.62200000,3760.00000000
0.63000000,3760.00000000
0.63800000,3760.00000000
0.64300000,3760.00000000
0.65100000,3760.00000000
0.65900000,3760.00000000
0.66700000,3760.00000000
0.67500000,3760.00000000
0.68300000,3760.00000000
0.69100000,3734.00000000
0.69900000,3734.00000000
0.70500000,3734.00000000
0.70900000,3734.00000000
0.71600000,3734.00000000
0.72400000,3734.00000000
0.72800000,3734.00000000
0.73600000,3734.00000000
0.74400000,3734.00000000
0.75200000,3734.00000000
0.76000000,3734.00000000
0.76800000,3734.00000000
0.77600000,3734.00000000
0.78400000,3734.00000000
0.79000000,3726.00000000
0.79800000,3726.00000000
0.80600000,3726.00000000
0.81100000,3726.00000000
0.81800000,3726.00000000
0.82500000,3726.00000000
0.83300000,3726.00000000
0.83600000,3726.00000000
0.84900000,3726.00000000
0.85700000,3726.00000000
0.86300000,3726.00000000
0.86700000,3726.00000000
0.87000000,3726.00000000
0.87800000,3726.00000000
0.88600000,3726.00000000
0.89100000,3722.00000000
0.89400000,3722.00000000
0.89800000,3722.00000000
0.90600000,3722.00000000
0.91400000,3722.00000000
0.92200000,3722.00000000
0.93000000,3722.00000000
0.93800000,3722.00000000
0.94600000,3722.00000000
0.95300000,3722.00000000
0.96100000,3722.00000000
0.96800000,3722.00000000
0.97600000,3722.00000000
0.97900000,3722.00000000
0.99200000,3732.00000000
1.00000000,3732.00000000
1.00600000,3732.00000000
1.01300000,3732.00000000
1.02000000,3732.00000000
1.02800000,3732.00000000
1.03600000,3732.00000000
1.04400000,3732.00000000
1.05200000,3732.00000000
1.06000000,3732.00000000
1.06800000,3732.00000000
1.07600000,3732.00000000
1.08400000,3732.00000000
1.09200000,3752.00000000
1.10000000,3752.00000000
1.10800000,3752.00000000
1.11600000,3752.00000000
1.12400000,3752.00000000
1.13200000,3752.00000000
1.14000000,3752.00000000
1.14800000,3752.00000000
1.15600000,3752.00000000
1.16400000,3752.00000000
1.16700000,3752.00000000
1.17400000,3752.00000000
1.18100000,3752.00000000
1.18400000,3752.00000000
1.19700000,3721.00000000
1.20500000,3721.00000000
1.21300000,3721.00000000
1.22100000,3721.00000000
1.22900000,3721.00000000
1.23700000,3721.00000000
1.24000000,3721.00000000
1.24800000,3721.00000000
1.25600000,3721.00000000
1.26000000,3721.00000000
1.26800000,3721.00000000
1.27600000,3721.00000000
1.28400000,3721.00000000
1.29000000,3752.00000000
1.29800000,3752.00000000
1.30600000,3752.00000000
1.31400000,3752.00000000
1.31800000,3752.00000000
1.32600000,3752.00000000
1.33400000,3752.00000000
1.34200000,3752.00000000
1.35000000,3752.00000000
1.35800000,3752.00000000
1.36600000,3752.00000000
1.37400000,3752.00000000
1.38200000,3752.00000000
1.39000000,3741.00000000
1.39800000,3741.00000000
1.40600000,3741.00000000
1.40900000,3741.00000000
1.41700000,3741.00000000
1.42500000,3741.00000000
1.42900000,3741.00000000
1.43700000,3741.00000000
1.44500000,3741.00000000
1.45300000,3741.00000000
1.45600000,3741.00000000
1.46400000,3741.00000000
1.47200000,3741.00000000
1.48000000,3741.00000000
1.48800000,3741.00000000
1.49600000,3721.00000000
1.50400000,3721.00000000
1.51200000,3721.00000000
1.52000000,3721.00000000
1.52800000,3721.00000000
1.53100000,3721.00000000
1.54400000,3721.00000000
1.55200000,3721.00000000
1.56000000,3721.00000000
1.56800000,3721.00000000
1.57600000,3721.00000000
1.58400000,3721.00000000
1.58700000,3721.00000000
1.59400000,3712.00000000
1.60100000,3712.00000000
1.60900000,3712.00000000
1.61700000,3712.00000000
1.62500000,3712.00000000
1.63300000,3712.00000000
1.64100000,3712.00000000
1.64900000,3712.00000000
1.65700000,3712.00000000
1.66500000,3712.00000000
1.67300000,3712.00000000
1.68100000,3712.00000000
1.68900000,3712.00000000
1.69200000,3729.00000000
1.70000000,3729.00000000
1.70800000,3729.00000000
1.71600000,3729.00000000
1.72400000,3729.00000000
1.73200000,3729.00000000
1.74000000,3729.00000000
1.74800000,3729.00000000
1.75600000,3729.00000000
1.76400000,3729.00000000
1.77200000,3729.00000000
1.78000000,3729.00000000
1.78500000,3729.00000000
1.79300000,3752.00000000
1.80100000,3752.00000000
1.80600000,3752.00000000
1.80900000,3752.00000000
1.81700000,3752.00000000
1.82500000,3752.00000000
1.83300000,3752.00000000
1.84100000,3752.00000000
1.84900000,3752.00000000
1.85700000,3752.00000000
1.86000000,3752.00000000
1.86300000,3752.00000000
1.86700000,3752.00000000
1.87300000,3752.00000000
1.87600000,3752.00000000
1.88400000,3752.00000000
1.89200000,3725.00000000
1.90000000,3725.00000000
1.90800000,3725.00000000
1.91600000,3725.00000000
1.92400000,3725.00000000
1.93200000,3725.00000000
1.93700000,3725.00000000
1.94500000,3725.00000000
1.95300000,3725.00000000
1.95800000,3725.00000000
1.96100000,3725.00000000
1.96900000,3725.00000000
1.97700000,3725.00000000
1.98500000,3725.00000000
1.99300000,3769.00000000
2.09200000,3740.00000000
