timeData,tof1Data
0.00200000,4.06700000
0.01000000,4.06700000
0.01700000,4.06700000
0.02500000,4.06700000
0.03300000,4.06700000
0.04100000,4.06700000
0.04800000,4.06700000
0.05600000,4.06700000
0.06200000,4.06700000
0.06800000,4.06700000
0.07500000,4.06700000
0.08000000,4.06700000
0.08800000,4.06700000
0.09600000,4.06700000
0.10200000,4.06700000
0.11000000,4.06700000
0.11800000,4.00700000
0.12400000,4.00700000
0.13200000,4.00700000
0.14000000,4.00700000
0.14600000,4.00700000
0.15400000,4.00700000
0.16200000,4.00700000
0.17000000,4.00700000
0.17800000,4.01300000
0.18600000,4.01300000
0.19400000,4.01300000
0.19700000,4.01300000
0.20500000,4.01300000
0.21300000,4.01300000
0.22100000,4.01300000
0.22400000,4.01300000
0.23200000,4.01300000
0.24000000,4.01300000
0.24500000,4.01300000
0.25300000,4.01300000
0.25800000,4.01300000
0.26600000,4.01300000
0.27400000,4.01300000
0.28200000,4.01300000
0.29000000,4.01300000
0.29800000,4.01300000
0.30600000,4.01300000
0.31400000,4.01300000
0.32000000,3.98700000
0.32600000,3.98700000
0.33200000,3.98700000
0.34000000,3.98700000
0.34800000,3.98700000
0.35600000,3.98700000
0.36300000,3.98700000
0.37100000,3.98700000
0.37900000,3.99700000
0.38300000,3.99700000
0.39100000,3.99700000
0.39600000,3.99700000
0.40400000,3.99700000
0.41200000,3.99700000
0.41500000,3.99700000
0.42300000,3.99700000
0.43000000,3.99700000
0.43800000,3.99700000
0.44400000,3.99700000
0.45200000,3.99700000
0.46000000,3.99700000
0.46800000,3.99700000
0.47600000,3.99700000
0.48400000,3.99700000
0.49200000,3.99700000
0.50000000,3.99700000
0.50800000,3.99700000
0.51500000,3.99700000
0.52300000,4.01300000
0.52900000,4.01300000
0.53700000,4.01300000
0.54300000,4.01300000
0.55100000,4.01300000
0.55900000,4.01300000
0.56500000,4.01300000
0.57300000,4.01300000
0.58100000,4.01300000
0.58700000,4.01300000
0.59500000,4.01300000
0.60300000,4.01300000
0.61100000,4.01300000
0.61500000,4.01300000
0.62300000,4.02200000
0.63100000,4.02200000
0.63400000,4.02200000
0.64200000,4.02200000
0.64900000,4.02200000
0.65700000,4.02200000
0.66300000,4.02200000
0.67100000,4.02200000
0.67900000,3.91500000
0.68700000,3.91500000
0.69100000,3.91500000
0.69900000,3.91500000
0.70400000,3.91500000
0.71200000,3.91500000
0.72000000,3.91500000
0.72300000,3.91500000
0.73100000,3.91500000
0.73900000,3.91500000
0.74700000,3.91500000
0.75000000,3.91500000
0.75800000,3.91500000
0.76500000,3.91500000
0.77100000,3.91500000
0.77700000,3.91500000
0.78500000,3.91500000
0.79300000,3.91500000
0.79800000,3.91500000
0.80600000,3.91500000
0.81400000,3.91500000
0.81700000,4.03100000
0.82500000,4.03100000
0.83200000,4.03100000
0.84000000,4.03100000
0.84800000,4.03100000
0.85600000,4.03100000
0.85900000,4.03100000
0.86600000,4.03100000
0.87000000,4.03100000
0.87800000,4.03100000
0.88300000,4.03100000
0.88900000,4.03100000
0.89600000,4.03100000
0.90400000,4.03100000
0.91200000,4.03100000
0.91500000,4.03100000
0.92300000,4.06400000
0.93000000,4.06400000
0.93400000,4.06400000
0.93700000,4.06400000
0.94500000,4.06400000
0.95300000,4.06400000
0.96100000,4.06400000
0.96900000,4.06400000
0.97700000,4.06400000
0.98500000,4.06400000
0.99000000,4.06400000
0.99800000,4.06400000
1.00300000,4.06400000
1.01100000,4.06400000
1.01900000,4.07100000
1.02700000,4.07100000
1.03500000,4.07100000
1.04300000,4.07100000
