angle,tof2
9.472,445.
29.608,464.
49.74,577.
69.705,803.
89.8,730.
109.303,704.
129.132,801.
149.77,855.
169.705,703.
189.19,1462.
210.25,751.
228.923,623.
249.319,851.
269.827,747.
289.302,1224.
310.3,722.
329.204,586.
349.681,464.
