angle, tof2
9.642, 1306.
29.633, 1390.
50.514,  962.
68.928,  795.
89.752,  697.
109.363, 1530.
129.224, 1628.
150.865, 1562.
169.163, 1369.
190.782,  693.
209.78,  1065.
230.499, 1432.
249.332,  745.
269.761, 1732.
289.851,  777.
309.17,   872.
330.155, 1483.
349.773, 1329.
