angle, tof2
9.6,    432.
29.648,  503.
49.964,  690.
68.932,  895.
89.815, 1899.
109.316,  442.
130.464,  281.
150.583,  235.
169.342,  442.
189.88,   933.
209.218,  900.
229.906,  677.
248.944,  489.
270.48,   439.
290.38,   399.
308.896,  536.
329.485,  498.
349.318,  428.
