angle, tof2
9.563, 692.
28.888, 723.
49.209, 848.
69.254, 844.
89.542, 691.
109.174, 668.
128.816, 694.
149.424, 840.
170.285, 818.
189.165, 714.
209.692, 701.
230.195, 842.
249.563, 908.
269.431, 731.
289.451, 552.
309.171, 819.
329.952, 596.
348.908, 711.
