angle, tof1
20.113,  449.
39.932,  558.
59.761,  688.
79.551, 1073.
98.935, 2211.
119.956,  713.
140.208,  228.
159.886,  207.
180.814, 2197.
199.728, 1205.
220.183,  663.
239.42,   485.
260.61,   420.
280.25,   392.
299.867,  450.
318.998,  518.
338.987,  458.
359.909,  401.
