angle, tof1
20.55,   400.
39.68,   526.
59.44,   787.
80.233, 1148.
99.219, 2135.
120.609,  276.
139.43,   197.
159.467,  296.
180.235, 1384.
199.21,  2142.
219.34,   604.
239.802,  517.
258.939,  412.
279.965,  395.
300.401,  505.
319.704,  437.
339.518,  407.
359.713,  384.
