angle, tof1
20.581,  444.
39.272,  478.
60.549,  761.
80.298,  683.
99.346,  680.
120.737,  747.
140.222,  855.
159.6,   2415.
179.945, 1845.
199.92,  2080.
220.32,  1985.
238.966,  967.
259.146,  773.
279.895, 1878.
299.304, 1874.
319.657,  698.
340.37,   512.
359.375,  445.
