angle, tof1
20.4,   1080.
39.81,  1132.
60.484, 2280.
79.575, 2841.
100.675, 1306.
119.234, 1265.
139.98,   799.
159.238,  473.
180.556,  394.
200.69,   367.
219.311,  437.
239.14,   529.
259.764,  392.
279.424,  379.
299.802,  426.
319.934,  521.
338.867,  616.
360.115, 2220.
