angle, tof1
19.87,   736.
40.24,   911.
59.334,  731.
80.62,   644.
98.947,  647.
119.348,  737.
139.38,   903.
159.826,  740.
179.105,  687.
199.953,  667.
219.762,  721.
239.109,  909.
259.26,   785.
278.936,  748.
299.818, 2565.
320.331, 1882.
339.118, 1927.
359.399, 1989.
