angle,tof1
19.807,  408.
40.223,  540.
59.385,  724.
79.154, 1047.
100.512, 2167.
119.764,  534.
139.95,   260.
159.536,  180.
179.256,  230.
199.399, 2161.
219.457, 1566.
240.1,    665.
260.233,  496.
280.16,   422.
299.567,  412.
319.707,  459.
339.84,   525.
359.682,  389.
