angle, tof1
20.765, 1353.
40.8,   1204.
60.159,  747.
79.531,  852.
99.402, 1577.
119.598, 1769.
140.221, 1669.
159.917, 1239.
180.44,   626.
198.995, 1309.
219.325, 1565.
239.408, 2134.
258.679, 1998.
279.139, 1439.
300.639,  827.
319.437, 1312.
339.91,  1513.
360.12,  1427.
