angle   ,tof1
19.14,   415.
40.725,  520.
60.42,   780.
79.911,  733.
99.374,  695.
120.197,  708.
139.346,  766.
159.64,  2405.
178.875, 1768.
199.702, 1789.
219.59,  2271.
240.877, 1049.
259.256,  820.
279.307,  815.
300.176, 1911.
320.165,  910.
340.322,  675.
359.847,  525.
