angle, tof1
19.851, 1382.
39.17,  1389.
60.155,  782.
79.773,  682.
99.642, 1542.
119.633, 1676.
140.514, 1890.
158.928, 1683.
179.752,  926.
199.363,  691.
219.224, 1454.
240.865, 1786.
259.163, 1993.
280.782, 1877.
299.78,   754.
320.499,  747.
339.332, 1626.
359.761, 1413.
