angle, tof1
19.451,  716.
39.171,  841.
59.952,  909.
78.908,  653.
99.563,  621.
118.888,  687.
139.209,  833.
159.254,  916.
179.542,  733.
199.174,  693.
218.816,  715.
239.424,  805.
260.285,  816.
279.165,  726.
299.692, 2801.
320.195, 1833.
339.563, 1956.
359.431, 2113.
